gengxin,id,title,zuozhe
09-05,002297,"亚盛多重重大利好集干一身,不大涨很难
","
打击很大
"
09-05,002297,"大涨就卖,大跌就买。
","
ID永远毅力
"
09-05,002297,"再多利好也没用,九月不会大涨也不会大跌,十月十一月肯定会有一波大的调整,要有行
","
内务府总管
"
09-05,002297,"补涨空间巨大
","
情思细语
"
09-05,002297,"昨天我在13.3减仓六分之五。今天如果没有超过13.38,将会继续回调!!
","
一失足成千恨
"
09-03,002297,"今天收盘至少跌4%
","
远去的家园
"
09-01,002297,"看看月线
","
此生余年
"
09-01,002297,"9.1实盘
","
另一种可能性
"
08-31,002297,"军工发展创新成指导方向
","
Y死神X
"
08-30,002297,"看看别的股票,2倍3倍大有人在,为什么不涨,怂股无庄。
","
有趣的是
"
08-29,002297,"狗装快拉
","
花脚雯子
"
08-28,002297,"有本事跌停!你越跌我越买,你不涨我不卖。除非你退市!你妹的![不赞]
","
米德不是猪
"
08-26,002297,"散户总是一跌就骂,要感谢庄家,给你低吸的机会;一个字:买
","
久违的纯真
"
08-26,002297,"又是一波调整
","
众赢乔丹
"
08-26,002297,"居然还有这么多托在发帖看好
","
传声筒
"
08-26,002297,"卑鄙的中中国航空器材集团公司
","
瓦开心
"
08-25,002297,"博云新材上半年净利230万同比下降87%
","
飘在天上的浮
"
08-25,002297,"博云新材:第四届监事会第十九次会议决议公告
","
麦克蕙兰
"
08-25,002297,"博云新材:天风证券股份有限公司关于公司2014年半年度定期现场检查报告
","
大头树袋熊
"
08-22,002297,"002247帝龙新材,可以逢低参与,下星期行情不错!博云咱没走,才赚5%,太少了
","
牛市尚未终结
"
08-22,002297,转：给在股市中快绝望的朋友推荐几支好股票,"
火星股友
"
08-21,002297,"在这里建仓的都是股市里精英慧眼觉得有道理顶
","
天天向上外交
"
08-21,002297,"博云新材:工信部重磅扶持,碳纤维热力四射!
","
红豆舞者
"
08-20,002297,"主力你再拉到12.6我就割肉了把筹码给你
","
八刀一斩
"
08-20,002297,"垃圾,没必要和这样的庄家干耗
","
没有了太上皇
"
08-20,002297,"至昨天终于满仓云300万元,15以上再说走不走:耐心等就是了
","
无双抄底
"
08-19,002297,石墨烯概念活跃 中国宝安等2股涨停,"
中国合伙
"
08-19,002297,"太墨迹8W股微利清仓换股但愿没猜错吧
","
真实故事
"
08-19,002297,"看好博云新材,新材料龙头大哥,坚定买持!
","
民族乐园
"
08-19,002297,"距2014中国国际石墨烯创新大会还有:13天
","
自然被禁
"
08-19,002297,"特斯拉研发高性能石墨烯电池
","
永恒zidane
"
